timestamp,cpu_percent,ram_percent,ram_used_bytes
2026-04-15 22:04:29,7.11538,42.3784,14165127168
2026-04-15 22:04:30,8.79227,42.3515,14156115968
CPU%,RAM%,RAM_Used_Bytes
7.01923,42.3498,14155550720
7.67045,42.3235,14146752512
10.5114,42.3215,14146097152
6.25,42.3008,14139170816
8.11567,42.3028,14139830272
5.28846,42.2997,14138789888
7.48106,42.2977,14138142720
6.81818,42.2878,14134829056
CPU%,RAM%,RAM_Used_Bytes
22.168,40.2899,13467013120
21.6418,40.2747,13461950464
29.1667,40.2749,13461995520
22.886,40.3009,13470691328
21.7803,40.3096,13473599488
CPU%,RAM%,RAM_Used_Bytes
27.8846,81.1168,27113549824
ALERT,RAM,RAM exceeded threshold,81.1168,80
29.6642,81.0535,27092381696
ALERT,RAM,RAM exceeded threshold,81.0535,80
27.2388,81.0769,27100188672
ALERT,RAM,RAM exceeded threshold,81.0769,80
22.2948,81.0933,27105677312
ALERT,RAM,RAM exceeded threshold,81.0933,80
29.072,81.0957,27106496512
ALERT,RAM,RAM exceeded threshold,81.0957,80
30.8769,81.0868,27103526912
ALERT,RAM,RAM exceeded threshold,81.0868,80
27.3897,81.088,27103907840
ALERT,RAM,RAM exceeded threshold,81.088,80
30.6903,81.0988,27107516416
ALERT,RAM,RAM exceeded threshold,81.0988,80
31.0634,81.1023,27108708352
ALERT,RAM,RAM exceeded threshold,81.1023,80
27.3321,81.0977,27107147776
ALERT,RAM,RAM exceeded threshold,81.0977,80
29.6402,81.0895,27104407552
ALERT,RAM,RAM exceeded threshold,81.0895,80
31.6288,81.0894,27104382976
ALERT,RAM,RAM exceeded threshold,81.0894,80
26.6791,81.1103,27111358464
ALERT,RAM,RAM exceeded threshold,81.1103,80
CPU%,RAM%,RAM_Used_Bytes
31.4423,81.3645,27196321792
ALERT,RAM,RAM exceeded threshold,81.3645,80
28.75,81.3675,27197329408
ALERT,RAM,RAM exceeded threshold,81.3675,80
43.8462,81.3575,27194007552
ALERT,RAM,RAM exceeded threshold,81.3575,80
ALERT,CPU,CPU spike detected,43.8462,15.0962
28.6538,81.3005,27174928384
ALERT,RAM,RAM exceeded threshold,81.3005,80
28.2197,81.2878,27170709504
ALERT,RAM,RAM exceeded threshold,81.2878,80
35.4808,81.3398,27188080640
ALERT,RAM,RAM exceeded threshold,81.3398,80
49.2308,81.873,27366293504
